OrderID,Date,ProductID,Region,Quantity,UnitPrice
1000,2024-09-02,P01,South,9,212
1001,2024-10-28,P01,East,7,218
1002,2024-07-21,P02,West,2,151
1003,2024-07-19,P02,South,7,159
1004,2024-12-12,P03,East,1,281
1005,2024-06-06,P02,West,3,138
1006,2024-08-19,P03,West,10,284
1007,2024-03-15,P01,South,3,185
1008,2024-06-11,P03,South,5,280
1009,2024-04-02,P03,North,3,292
1010,2024-02-19,P03,North,8,317
1011,2024-08-11,P03,West,2,283
1012,2024-10-04,P02,North,4,158
1013,2024-09-08,P02,South,10,159
1014,2024-04-16,P03,South,9,318
1015,2024-02-23,P02,South,6,145
1016,2024-05-08,P01,East,4,182
1017,2024-06-13,P01,North,7,218
1018,2024-05-22,P03,East,4,306
1019,2024-10-12,P02,South,9,135
1020,2024-03-26,P03,West,3,294
1021,2024-09-05,P03,North,5,320
1022,2024-08-16,P02,North,9,131
1023,2024-09-13,P01,West,6,218
1024,2024-09-04,P02,East,3,148
1025,2024-07-04,P02,East,7,165
1026,2024-11-11,P02,West,2,146
1027,2024-04-09,P01,East,4,184
1028,2024-06-12,P01,North,2,204
1029,2024-07-11,P01,South,4,198
1030,2024-02-25,P02,South,6,156
1031,2024-06-23,P02,East,6,141
1032,2024-05-24,P03,North,5,300
1033,2024-09-07,P03,North,6,301
1034,2024-06-04,P01,South,8,220
1035,2024-04-21,P03,South,5,300
1036,2024-03-25,P02,South,10,167
1037,2024-08-05,P03,West,1,313
1038,2024-07-17,P03,West,4,320
1039,2024-08-06,P01,East,5,186
1040,2024-04-01,P03,South,10,314
1041,2024-07-22,P02,West,7,165
1042,2024-08-17,P02,West,5,143
1043,2024-08-25,P01,West,8,192
1044,2024-09-24,P03,South,3,293
1045,2024-09-14,P02,East,8,164
1046,2024-10-20,P01,West,5,206
1047,2024-08-08,P02,East,6,147
1048,2024-06-03,P02,West,3,147
1049,2024-05-13,P01,East,10,205
1050,2024-01-04,P02,West,2,140
1051,2024-04-04,P03,North,7,284
1052,2024-07-16,P03,West,3,295
1053,2024-07-11,P01,North,10,198
1054,2024-12-03,P02,North,10,168
1055,2024-12-11,P02,South,5,150
1056,2024-12-12,P03,South,3,285
1057,2024-10-07,P03,North,8,280
1058,2024-03-13,P03,West,9,319
1059,2024-02-06,P02,South,8,130
1060,2024-06-27,P01,North,7,199
1061,2024-07-10,P03,South,6,316
1062,2024-03-01,P01,East,2,210
1063,2024-05-11,P03,South,5,290
1064,2024-12-01,P01,South,9,211
1065,2024-08-27,P01,South,5,211
1066,2024-02-11,P02,West,2,146
1067,2024-05-18,P03,West,9,299
1068,2024-07-18,P02,West,4,157
1069,2024-09-01,P03,North,5,294
1070,2024-11-21,P02,East,3,137
1071,2024-02-05,P03,North,4,305
1072,2024-03-03,P03,East,9,303
1073,2024-02-26,P03,East,8,290
1074,2024-05-23,P03,West,4,290
1075,2024-03-05,P01,East,2,209
1076,2024-06-10,P02,North,10,164
